station_id,station_name,go_live_date,station_status
3053,Point Breeze & Tasker,2015-04-23,Active
3054,Rodin Museum,2015-04-23,Active
3055,8th & Market,2015-04-28,Active
3056,Broad & Oxford,2015-04-23,Active
3057,Philadelphia Museum of Art,2015-04-23,Active
3058,20th & Fairmount,2015-04-23,Active
3059,"Spring Garden Station, BSL",2015-04-23,Active
3060,Free Library of Philadelphia - Central Library,2015-04-23,Active
3061,23rd & Market,2015-04-23,Active
3062,24th & Sansom,2015-04-23,Active
3063,17th & Pine,2015-04-23,Active
3064,"18th & Washington, Chew Playground",2015-04-23,Active
3065,Girard & Hutchinson,2015-04-23,Active
3066,19th & Lombard,2015-04-23,Active
3067,"39th & Mt. Vernon, Mantua Haverford Community Center",2015-04-23,Active
3068,Broad & Federal,2015-04-23,Active
3069,4th & Christian,2015-04-23,Active
3070,"Spring Garden Station, MFL",2015-04-29,Inactive
3071,"32nd & Baring, Drexel Park",2015-04-23,Inactive
3072,Front & Carpenter,2015-04-23,Active
3073,9th & Spring Garden,2015-04-28,Active
3074,44th & Walnut,2015-04-28,Active
3075,Fairmount & Ridge,2015-04-28,Active
3077,17th & Girard,2015-04-29,Active
3078,19th & Market,2015-04-23,Active
3086,Broad & Christian,2015-06-10,Active
3088,3rd & Girard,2015-10-20,Active
3093,33rd & Diamond,2016-04-28,Active
3095,29th & Diamond,2016-04-28,Inactive
3096,29th & Dauphin,2016-04-29,Active
3097,"Berks Station, MFL",2016-04-29,Active
3098,10th & Federal,2016-05-02,Active
3099,4th & Washington,2016-05-02,Active
3100,Moyamensing & Tasker,2016-05-02,Active
3101,11th & South,2016-05-02,Active
3102,Pennsylvania & Fairmount Perelman Building,2016-05-03,Active
3103,"27th & Master, Athletic Recreation Center",2016-05-03,Inactive
3104,34th & Mantua,2016-05-03,Active
3105,Penn Treaty Park,2016-05-03,Inactive
3106,33rd & Dauphin,2016-05-05,Active
3107,33rd & Reservoir,2016-05-04,Active
3108,15th & Market,2016-05-04,Inactive
3109,Parkside & Girard,2016-05-06,Inactive
